# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	44500
#@/user_id	win_home_mypc
dqyw 	确认	c=33 d=2.30054 t=44500
dr 	原	c=1 d=3.28474e-21 t=44500
drde 	原有	c=1 d=0.0972957 t=44500
drgj 	原理	c=3 d=2.16398 t=44500
drgo 	原来	c=10 d=0.997627 t=44500
dri 	原	c=12 d=1.83273 t=44500
drld 	原因	c=9 d=1.24085 t=44500
drlt 	原图	c=1 d=0.0239928 t=44500
droa 	原煤	c=2 d=0.000639387 t=44500
drsg 	原本	c=1 d=4.51106e-18 t=44500
druj 	愿意	c=3 d=0.188264 t=44500
drvc 	原始	c=1 d=0.0558548 t=44500
drww 	原价	c=1 d=0.802519 t=44500
ds 	厅	c=1 d=2.53969e-24 t=44500
dsfh 	奇趣	c=1 d=2.2525e-24 t=44500
dsnc 	奇怪	c=3 d=0.176254 t=44500
dsvi 	奇妙	c=1 d=0.0858632 t=44500
dt 	帮	c=12 d=0.529932 t=44500
dtb 	邦	c=2 d=1.9519e-13 t=44500
dteg 	帮助	c=8 d=1.36527 t=44500
dtf 	寿	c=2 d=9.08681e-12 t=44500
dtny 	帮忙	c=1 d=0.263158 t=44500
dtp 	砭	c=1 d=0.00794669 t=44500
duag 	碰巧	c=1 d=0.0187793 t=44500
dud 	磋	c=1 d=0.423162 t=44500
duo 	碰	c=11 d=0.937067 t=44500
duru 	碰撞	c=25 d=1.97637 t=44500
dvi 	碌	c=1 d=0.0265162 t=44500
dwiq 	春光	c=1 d=0.090718 t=44500
dwmq 	春风	c=1 d=0.612626 t=44500
dx 	龙	c=1 d=0.00524752 t=44500
dxed 	龙须	c=1 d=0.00546167 t=44500
dy 	太	c=73 d=2.25817 t=44500
dyn 	态	c=1 d=0.582748 t=44500
dypw 	太空	c=1 d=0.145148 t=44500
dyw 	碎	c=3 d=1.06379 t=44500
dyya 	态度	c=2 d=0.0384133 t=44500
e 	有	c=620 d=10.9527 t=44500
eajd 	膜	c=3 d=1.93807 t=44500
ebc 	服	c=4 d=0.846236 t=44500
ebtl 	服务	c=17 d=3.97089 t=44500
edm 	须	c=1 d=0.00527382 t=44500
ee 	朋	c=3 d=0.585435 t=44500
eedc 	朋友	c=1 d=0.65377 t=44500
eee 	月	c=8 d=1.12961 t=44500
eeee 	月	c=29 d=1.46255 t=44500
eeiq 	月光	c=1 d=0.937067 t=44500
eete 	月租	c=1 d=0.0746459 t=44500
eeww 	月份	c=1 d=0.0753845 t=44500
efbb 	肚子	c=1 d=0.0584257 t=44500
efcb 	脚	c=1 d=6.24663e-24 t=44500
efsg 	脚本	c=21 d=3.98618 t=44500
eg 	且	c=7 d=1.61003 t=44500
egcn 	悬	c=1 d=2.59011e-20 t=44500
egfd 	县城	c=2 d=8.85941e-08 t=44500
eggj 	助理	c=1 d=0.0480747 t=44500
egl 	助	c=3 d=0.683861 t=44500
egwy 	悬停	c=2 d=1.00221e-17 t=44500
eh 	鼐	c=1 d=0.390628 t=44500
eitl 	脑溢血	c=1 d=0.261846 t=44500
ek 	肿	c=1 d=9.23431e-05 t=44500
emww 	股份	c=2 d=0.0337749 t=44500
ep 	爱	c=3 d=0.677057 t=44500
epc 	受	c=14 d=2.01317 t=44500
epi 	逐	c=1 d=1.73833e-05 t=44500
epil 	逐渐	c=2 d=0.341519 t=44500
epng 	爱情	c=1 d=0.99005 t=44500
er 	遥	c=1 d=2.65659e-24 t=44500
es 	采	c=2 d=1 t=44500
esqc 	彩色	c=1 d=0.198891 t=44500
et 	用	c=272 d=4.47097 t=44500
etgf 	用于	c=1 d=0.196912 t=44500
etkk 	服务器	c=1 d=0.16166 t=44500
etpb 	用字	c=1 d=2.07219e-13 t=44500
ettj 	胜利	c=11 d=1.98272 t=44500
etxj 	服务费	c=1 d=0.101774 t=44500
etyn 	用户	c=2 d=0.946485 t=44500
euf 	胖	c=2 d=0.425135 t=44500
eukq 	脱	c=30 d=3.56556 t=44500
euqk 	脱兔	c=1 d=0.190139 t=44500
euyb 	脱离	c=2 d=0.486752 t=44500
euyn 	腾讯	c=9 d=4.4944 t=44500
ew 	脸	c=2 d=5.55498e-24 t=44500
