# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	56292
#@/user_id	win_work_gyyx
dwiq 	春光	c=1 d=0.090718 t=56292
dwmq 	春风	c=1 d=0.612626 t=56292
dx 	龙	c=2 d=0.00524752 t=56292
dxed 	龙须	c=1 d=0.00546167 t=56292
dy 	太	c=86 d=2.25817 t=56292
dyn 	态	c=1 d=0.582748 t=56292
dypw 	太空	c=1 d=0.145148 t=56292
dyw 	碎	c=3 d=1.06379 t=56292
dyya 	态度	c=2 d=0.0384133 t=56292
e 	有	c=821 d=10.9527 t=56292
eajd 	膜	c=4 d=1.93807 t=56292
ebc 	服	c=4 d=0.846236 t=56292
ebtl 	服务	c=17 d=3.97089 t=56292
eck 	胎	c=1 d=5.89407e-17 t=56292
edm 	须	c=1 d=0.00527382 t=56292
ee 	朋	c=4 d=0.585435 t=56292
eedc 	朋友	c=3 d=0.65377 t=56292
eee 	月	c=11 d=1.12961 t=56292
eeee 	月	c=35 d=1.46255 t=56292
eeiq 	月光	c=1 d=0.937067 t=56292
eete 	月租	c=1 d=0.0746459 t=56292
eewf 	月会	c=1 d=1.2719e-06 t=56292
eeww 	月份	c=4 d=1.30035 t=56292
eeyq 	月底	c=1 d=4.84833e-07 t=56292
efbb 	肚子	c=1 d=0.0584257 t=56292
efbb 	脖子	c=3 d=3.11691e-20 t=56292
efcb 	脚	c=1 d=6.24663e-24 t=56292
efsg 	脚本	c=29 d=3.98618 t=56292
eg 	且	c=7 d=1.61003 t=56292
egcn 	悬	c=1 d=2.59011e-20 t=56292
egfd 	县城	c=2 d=8.85941e-08 t=56292
eggj 	助理	c=1 d=0.0480747 t=56292
egl 	助	c=5 d=0.683861 t=56292
egwy 	悬停	c=2 d=1.00221e-17 t=56292
eh 	鼐	c=1 d=0.390628 t=56292
eitl 	脑溢血	c=1 d=0.261846 t=56292
ek 	肿	c=1 d=9.23431e-05 t=56292
emac 	悬崖勒马	c=1 d=1.11974e-07 t=56292
emww 	股份	c=2 d=0.0337749 t=56292
enr 	肠	c=1 d=9.67744e-27 t=56292
ep 	爱	c=3 d=0.677057 t=56292
epc 	受	c=23 d=2.01317 t=56292
epi 	逐	c=1 d=1.73833e-05 t=56292
epil 	逐渐	c=2 d=0.341519 t=56292
epng 	爱情	c=1 d=0.99005 t=56292
epuw 	受益	c=1 d=0.188247 t=56292
eq 	胸	c=1 d=1.58542e-10 t=56292
er 	遥	c=1 d=2.65659e-24 t=56292
es 	采	c=2 d=1 t=56292
esqc 	彩色	c=1 d=0.198891 t=56292
essu 	采样	c=5 d=3.56728e-08 t=56292
et 	用	c=315 d=4.47097 t=56292
etaq 	服务区	c=2 d=1.03237e-25 t=56292
etgf 	用于	c=1 d=0.196912 t=56292
etkk 	服务器	c=1 d=0.16166 t=56292
etpb 	用字	c=1 d=2.07219e-13 t=56292
ettj 	胜利	c=11 d=1.98272 t=56292
etxj 	服务费	c=1 d=0.101774 t=56292
etyn 	用户	c=3 d=0.946485 t=56292
euf 	胖	c=2 d=0.425135 t=56292
eukq 	脱	c=31 d=3.56556 t=56292
euq 	胶	c=1 d=4.00926e-13 t=56292
euqk 	脱兔	c=1 d=0.190139 t=56292
euyb 	脱离	c=2 d=0.486752 t=56292
euyn 	腾讯	c=9 d=4.4944 t=56292
eve 	腿	c=1 d=2.09444e-21 t=56292
ew 	脸	c=2 d=5.55498e-24 t=56292
ewg 	脸	c=2 d=0.0175097 t=56292
ewgi 	脸	c=6 d=0.0846338 t=56292
ey 	及	c=3 d=0.685042 t=56292
eyb 	脑	c=1 d=0.130029 t=56292
eybb 	脑子	c=3 d=0.247833 t=56292
eyf 	脏	c=4 d=0.887315 t=56292
f 	地	c=140 d=27.1974 t=56292
fa 	载	c=3 d=0.045275 t=56292
faf 	霸	c=1 d=0.00027603 t=56292
fahh 	截止	c=1 d=0.0420036 t=56292
fakg 	域	c=1 d=0.000242381 t=56292
falt 	截图	c=8 d=0.162651 t=56292
falw 	戴	c=2 d=0.0430669 t=56292
faqk 	域名	c=6 d=1.04026 t=56292
faty 	载入	c=1 d=4.62289e-12 t=56292
faue 	裁剪	c=1 d=0.822835 t=56292
faw 	截	c=2 d=3.05476e-20 t=56292
fbfh 	地址	c=2 d=0.484325 t=56292
fbga 	地形	c=1 d=1.30432e-08 t=56292
fbqr 	地铁	c=1 d=0.143925 t=56292
fc 	支	c=1 d=0.571209 t=56292
fcb 	却	c=5 d=0.537944 t=56292
fcdy 	动态	c=13 d=5.88556 t=56292
fcfc 	运动	c=3 d=2.23649 t=56292
